Price,Year,Mileage,City,State,Vin,Make,Model,Year
13147,30000,37412,Akron, OH,KMHD35LH8HU349107,Hyundai,Elantra,2017
14047,30000,26652,Victorville, CA,KMHD35LH8HU351424,Hyundai,Elantra,2017
14047,30000,26675,Overland Park, KS,KMHD35LH6HU356802,Hyundai,Elantra,2017
14111,40000,9956,Dartmouth, MA,KMHD35LH2GU322984,Hyundai,Elantra,2016
9495,70000,65335,El Paso, TX,KMHDH6AEXDU003926,Hyundai,Elantra,2013
14047,30000,26729,Manchester, CT,KMHD35LH3HU357552,Hyundai,Elantra,2017
14047,30000,26791,Lakewood, WA,KMHD35LH6HU351342,Hyundai,Elantra,2017
13147,30000,37670,Tucson, AZ,KMHD35LH0HU348906,Hyundai,Elantra,2017
13547,30000,32873,Victorville, CA,KMHD35LH4HU348892,Hyundai,Elantra,2017
13547,30000,32921,Victorville, CA,KMHD35LH5HU349002,Hyundai,Elantra,2017
14047,30000,27084,Waldorf, MD,KMHD35LH7HU350247,Hyundai,Elantra,2017
14047,30000,27128,Victorville, CA,KMHD35LH6HU350305,Hyundai,Elantra,2017
13547,30000,33157,Sarasota, FL,KMHD35LH6HU350059,Hyundai,Elantra,2017
12499,40000,17547,East Haven, CT,KMHD35LH2GU324668,Hyundai,Elantra,2016
10450,60000,31158,Lake Park, FL,KMHD35LH3EU179346,Hyundai,Elantra,2014
13547,30000,33208,Jersey City, NJ,KMHD35LHXHU357385,Hyundai,Elantra,2017
13147,30000,38037,Overland Park, KS,KMHD35LH6HU348957,Hyundai,Elantra,2017
13547,30000,33221,Hazelwood, MO,KMHD35LH3HU348981,Hyundai,Elantra,2017
13547,30000,33233,Fairfield, CA,KMHD35LH7HU350068,Hyundai,Elantra,2017
13601,70000,22324,Redlands, CA,KMHDH6AE2DU011664,Hyundai,Elantra,2013
13547,30000,33389,Escondido, CA,KMHD35LH8HU348958,Hyundai,Elantra,2017
10999,70000,61206,South Jordan, UT,KMHDH6AE2DU001605,Hyundai,Elantra,2013
11900,40000,32175,Dundalk, MD,KMHD35LH2GU307918,Hyundai,Elantra,2016
7997,70000,80105,Raleigh, NC,KMHDH6AE5DU011920,Hyundai,Elantra,2013
7798,70000,82515,Raleigh, NC,KMHDH6AE0DU002932,Hyundai,Elantra,2013
12250,60000,15837,Columbia, MO,KMHD35LH5EU191773,Hyundai,Elantra,2014
14047,30000,27509,Saint Paul, MN,KMHD35LH3HU349046,Hyundai,Elantra,2017
13547,30000,33582,Victorville, CA,KMHD35LH6HU348926,Hyundai,Elantra,2017
11998,40000,32799,Slidell, LA,KMHD35LH9GU320018,Hyundai,Elantra,2016
13547,30000,33615,Tucson, AZ,KMHD35LH2HU348938,Hyundai,Elantra,2017
13547,30000,33702,Roselle, IL,KMHD35LHXHU349979,Hyundai,Elantra,2017
14047,30000,27723,West Chester, OH,KMHD35LH0HU352440,Hyundai,Elantra,2017
10995,60000,52887,Orlando, FL,KMHDH6AH4EU029580,Hyundai,Elantra,2014
13547,30000,33786,Houston, TX,KMHD35LH8HU348992,Hyundai,Elantra,2017
13147,30000,38626,Livermore, CA,KMHD35LH8HU350113,Hyundai,Elantra,2017
14900,40000,11006,Georgetown, TX,KMHD35LH2GU270594,Hyundai,Elantra,2016
13591,30000,13709,Clearwater, FL,KMHD35LH2H4347093,Hyundai,Elantra,2017
10975,70000,48878,Seattle, WA,KMHDH6AE8DU019929,Hyundai,Elantra,2013
13547,30000,33908,Victorville, CA,KMHD35LH5HU350196,Hyundai,Elantra,2017
12486,40000,30199,St. Louis, MO,KMHD35LH1GU308283,Hyundai,Elantra,2016
13147,30000,38831,Roselle, IL,KMHD35LH3HU349161,Hyundai,Elantra,2017
11999,40000,31886,Denton, TX,KMHD35LH4GU253246,Hyundai,Elantra,2016
13547,30000,34024,Livermore, CA,KMHD35LH5HU350134,Hyundai,Elantra,2017
14047,30000,28134,Sandy, UT,KMHD35LH3HU350486,Hyundai,Elantra,2017
14047,30000,28166,Fairfield, CA,KMHD35LH7HU350071,Hyundai,Elantra,2017
12995,40000,12593,North Lauderdale, FL,KMHD35LHXGU325308,Hyundai,Elantra,2016
13547,30000,34219,Omaha, NE,KMHD35LH5HU352739,Hyundai,Elantra,2017
14047,30000,28227,Victorville, CA,KMHD35LH4HU348777,Hyundai,Elantra,2017
14047,30000,28230,Lawrenceville, GA,KMHD35LHXHU350257,Hyundai,Elantra,2017
14299,30000,5590,West Park, FL,KMHD35LH7HU366982,Hyundai,Elantra,2017
13547,30000,34342,Greenwood, IN,KMHD35LH5HU349050,Hyundai,Elantra,2017
14747,30000,20010,Houston, TX,KMHD35LH0HU352468,Hyundai,Elantra,2017
13147,30000,39335,Manchester, CT,KMHD35LH8HU357014,Hyundai,Elantra,2017
